Time [s],MOSI,MISO,CLOCK,Reset,Channel 4,Channel 5,Channel 6,Channel 7
8.553572375,0,0,0,0,1,1,1,1
8.553575375,0,0,1,0,1,1,1,1
8.553577875,1,0,1,0,1,1,1,1
8.553578375,1,0,0,0,1,1,1,1
8.553581375,1,0,1,0,1,1,1,1
8.553584375,1,0,0,0,1,1,1,1
8.553587375,1,0,1,0,1,1,1,1
8.553589875,0,0,1,0,1,1,1,1
8.553590375,0,0,0,0,1,1,1,1
8.553593375,0,0,1,0,1,1,1,1
8.553596375,0,0,0,0,1,1,1,1
8.553599375,0,0,1,0,1,1,1,1
8.553602375,0,0,0,0,1,1,1,1
8.553605375,0,0,1,0,1,1,1,1
8.553608375,0,0,0,0,1,1,1,1
8.553611375,0,0,1,0,1,1,1,1
8.553622375,0,0,0,0,1,1,1,1
8.553625375,0,0,1,0,1,1,1,1
8.553628375,0,0,0,0,1,1,1,1
8.553631375,0,0,1,0,1,1,1,1
8.553634375,0,1,0,0,1,1,1,1
8.553637375,0,1,1,0,1,1,1,1
8.553640375,0,1,0,0,1,1,1,1
8.553643375,0,1,1,0,1,1,1,1
8.553646375,0,0,0,0,1,1,1,1
8.553649375,0,0,1,0,1,1,1,1
8.553652375,0,0,0,0,1,1,1,1
8.553655375,0,0,1,0,1,1,1,1
8.553658375,0,0,0,0,1,1,1,1
8.553661375,0,0,1,0,1,1,1,1
8.553664375,0,0,0,0,1,1,1,1
8.553667375,0,0,1,0,1,1,1,1
8.553678375,0,0,0,0,1,1,1,1
8.553681375,0,0,1,0,1,1,1,1
8.553684375,0,0,0,0,1,1,1,1
8.553687375,0,0,1,0,1,1,1,1
8.553690375,0,0,0,0,1,1,1,1
8.553693375,0,0,1,0,1,1,1,1
8.553696375,0,0,0,0,1,1,1,1
8.553699375,0,0,1,0,1,1,1,1
8.553702375,0,0,0,0,1,1,1,1
8.553705375,0,0,1,0,1,1,1,1
8.553708375,0,0,0,0,1,1,1,1
8.553711375,0,0,1,0,1,1,1,1
8.553714375,0,0,0,0,1,1,1,1
8.553717375,0,0,1,0,1,1,1,1
8.553720375,0,0,0,0,1,1,1,1
8.553723375,0,0,1,0,1,1,1,1
8.553734375,0,0,0,0,1,1,1,1
8.553737375,0,0,1,0,1,1,1,1
8.553740375,0,0,0,0,1,1,1,1
8.553743375,0,0,1,0,1,1,1,1
8.553746375,0,0,0,0,1,1,1,1
8.553749375,0,0,1,0,1,1,1,1
8.553752375,0,0,0,0,1,1,1,1
8.553752438,0,1,0,0,1,1,1,1
8.553755375,0,1,1,0,1,1,1,1
8.553758375,0,1,0,0,1,1,1,1
8.553761375,0,1,1,0,1,1,1,1
8.553764375,0,1,0,0,1,1,1,1
8.553767375,0,1,1,0,1,1,1,1
8.553770375,0,1,0,0,1,1,1,1
8.553773375,0,1,1,0,1,1,1,1
8.553776375,0,1,0,0,1,1,1,1
8.553776437,0,0,0,0,1,1,1,1
8.553779375,0,0,1,0,1,1,1,1
8.553790375,0,0,0,0,1,1,1,1
8.553793375,0,0,1,0,1,1,1,1
8.553796375,0,0,0,0,1,1,1,1
8.553799375,0,0,1,0,1,1,1,1
8.553801875,1,0,1,0,1,1,1,1
8.553802375,1,0,0,0,1,1,1,1
8.553805375,1,0,1,0,1,1,1,1
8.553808375,1,0,0,0,1,1,1,1
8.553811375,1,0,1,0,1,1,1,1
8.553813875,0,0,1,0,1,1,1,1
8.553814375,0,0,0,0,1,1,1,1
8.553817375,0,0,1,0,1,1,1,1
8.553820375,0,0,0,0,1,1,1,1
8.553823375,0,0,1,0,1,1,1,1
8.553826375,0,0,0,0,1,1,1,1
8.553829375,0,0,1,0,1,1,1,1
8.553832375,0,0,0,0,1,1,1,1
8.553835438,0,0,1,0,1,1,1,1
8.553846375,0,0,0,0,1,1,1,1
8.553849438,0,0,1,0,1,1,1,1
8.553852375,0,0,0,0,1,1,1,1
8.553855437,0,0,1,0,1,1,1,1
8.553858375,0,0,0,0,1,1,1,1
8.553858438,0,1,0,0,1,1,1,1
8.553861438,0,1,1,0,1,1,1,1
8.553864375,0,1,0,0,1,1,1,1
8.553867437,0,1,1,0,1,1,1,1
8.553870375,0,1,0,0,1,1,1,1
8.553870438,0,0,0,0,1,1,1,1
8.553873438,0,0,1,0,1,1,1,1
8.553876375,0,0,0,0,1,1,1,1
8.553879437,0,0,1,0,1,1,1,1
8.553882438,0,0,0,0,1,1,1,1
8.553885437,0,0,1,0,1,1,1,1
8.553888437,0,0,0,0,1,1,1,1
8.553891438,0,0,1,0,1,1,1,1
8.553902437,0,0,0,0,1,1,1,1
8.553905437,0,0,1,0,1,1,1,1
8.553908438,0,0,0,0,1,1,1,1
8.553911438,0,0,1,0,1,1,1,1
8.553914437,0,0,0,0,1,1,1,1
8.553917438,0,0,1,0,1,1,1,1
8.553920438,0,0,0,0,1,1,1,1
8.553923437,0,0,1,0,1,1,1,1
8.553926437,0,0,0,0,1,1,1,1
8.553929438,0,0,1,0,1,1,1,1
8.553932438,0,0,0,0,1,1,1,1
8.553935437,0,0,1,0,1,1,1,1
8.553938437,0,0,0,0,1,1,1,1
8.553941438,0,0,1,0,1,1,1,1
8.553943937,1,0,1,0,1,1,1,1
8.553944438,1,0,0,0,1,1,1,1
8.553947437,1,0,1,0,1,1,1,1
8.553957937,0,0,1,0,1,1,1,1
8.553958438,0,1,0,0,1,1,1,1
8.553961437,0,1,1,0,1,1,1,1
8.553964437,0,0,0,0,1,1,1,1
8.553967438,0,0,1,0,1,1,1,1
8.553970438,0,0,0,0,1,1,1,1
8.553973438,0,0,1,0,1,1,1,1
8.553976437,0,1,0,0,1,1,1,1
8.553979438,0,1,1,0,1,1,1,1
8.553982438,0,0,0,0,1,1,1,1
8.553985437,0,0,1,0,1,1,1,1
8.553988437,0,1,0,0,1,1,1,1
8.553991438,0,1,1,0,1,1,1,1
8.553994438,0,0,0,0,1,1,1,1
8.553997437,0,0,1,0,1,1,1,1
8.554000437,0,0,0,0,1,1,1,1
8.554003437,0,0,1,0,1,1,1,1
8.554014437,0,0,0,0,1,1,1,1
8.554017438,0,0,1,0,1,1,1,1
8.554020438,0,0,0,0,1,1,1,1
8.554023437,0,0,1,0,1,1,1,1
8.554025938,1,0,1,0,1,1,1,1
8.554026437,1,0,0,0,1,1,1,1
8.554029438,1,0,1,0,1,1,1,1
8.554032438,1,0,0,0,1,1,1,1
8.554035437,1,0,1,0,1,1,1,1
8.554037938,0,0,1,0,1,1,1,1
8.554038437,0,0,0,0,1,1,1,1
8.554041438,0,0,1,0,1,1,1,1
8.554044437,0,0,0,0,1,1,1,1
8.554047437,0,0,1,0,1,1,1,1
8.554050438,0,0,0,0,1,1,1,1
8.554053438,0,0,1,0,1,1,1,1
8.554056437,0,0,0,0,1,1,1,1
8.554059437,0,0,1,0,1,1,1,1
8.554070438,0,0,0,0,1,1,1,1
8.554073437,0,0,1,0,1,1,1,1
8.554076437,0,0,0,0,1,1,1,1
8.554079438,0,0,1,0,1,1,1,1
8.554082437,0,1,0,0,1,1,1,1
8.554085437,0,1,1,0,1,1,1,1
8.554088438,0,1,0,0,1,1,1,1
8.554091438,0,1,1,0,1,1,1,1
